pais1;Source;pais2;Target;valor_exportacion;;
BRA;Brazil;ANT;Netherlands Antilles;13574477.0;;
COL;Colombia;ANT;Netherlands Antilles;18693.0;;
MEX;Mexico;ANT;Netherlands Antilles;866462080.0;;
USA;United States;ANT;Netherlands Antilles;3506.0;;
VEN;Venezuela;ANT;Netherlands Antilles;1537824512.0;;
USA;United States;ATG;Antigua and Barbuda;10087.0;;
AZE;Azerbaijan;AUT;Austria;22013808.0;;
CMR;Cameroon;AUT;Austria;4836066.0;;
CZE;Czechia;AUT;Austria;3590860.0;;
DEU;Germany;AUT;Austria;28864700.0;;
DZA;Algeria;AUT;Austria;132968256.0;;
FRA;France;AUT;Austria;195023.0;;
IRQ;Iraq;AUT;Austria;264572944.0;;
KAZ;Kazakstan;AUT;Austria;231609968.0;;
LBY;Libyan Arab Jamahiriya;AUT;Austria;149437664.0;;
NGA;Nigeria;AUT;Austria;192707168.0;;
RUS;Russia Federation;AUT;Austria;83728968.0;;
SAU;Saudi Arabia;AUT;Austria;80492368.0;;
SYR;Syrian Arab Republic;AUT;Austria;49816004.0;;
TKM;Turkmenistan;AUT;Austria;9172110.0;;
YEM;Yemen;AUT;Austria;4251412.0;;
CUB;Cuba;BEL;Belgium;464368.0;;
DEU;Germany;BEL;Belgium;5458796.0;;
EST;Estonia;BEL;Belgium;10493504.0;;
FRA;France;BEL;Belgium;181082.0;;
GBR;United Kingdom;BEL;Belgium;168808944.0;;
JPN;Japan;BEL;Belgium;4059.0;;
KWT;Kuwait;BEL;Belgium;4646780.0;;
LBR;Liberia;BEL;Belgium;11478156.0;;
LUX;Luxembourg;BEL;Belgium;5540.0;;
NLD;Netherlands;BEL;Belgium;287118752.0;;
NOR;Norway;BEL;Belgium;655506880.0;;
RUS;Russia Federation;BEL;Belgium;155877584.0;;
SWE;Sweden;BEL;Belgium;63243940.0;;
USA;United States;BEL;Belgium;5271.0;;
VEN;Venezuela;BEL;Belgium;76233888.0;;
RUS;Russia Federation;BGR;Bulgaria;40640324.0;;
ARG;Argentina;BHS;Bahamas;5894020.0;;
DZA;Algeria;BHS;Bahamas;39614092.0;;
NOR;Norway;BHS;Bahamas;33221424.0;;
RUS;Russia Federation;BHS;Bahamas;79650928.0;;
VEN;Venezuela;BHS;Bahamas;934362.0;;
ARE;United Arab Emirates;BRA;Brazil;25867240.0;;
ARG;Argentina;BRA;Brazil;987534336.0;;
AUS;Australia;BRA;Brazil;12759728.0;;
BOL;Bolivia;BRA;Brazil;15505317.0;;
COG;Congo;BRA;Brazil;48242964.0;;
COL;Colombia;BRA;Brazil;195824176.0;;
DZA;Algeria;BRA;Brazil;667347008.0;;
IRQ;Iraq;BRA;Brazil;175334064.0;;
NGA;Nigeria;BRA;Brazil;485518368.0;;
SAU;Saudi Arabia;BRA;Brazil;409236704.0;;
USA;United States;BRA;Brazil;28231.0;;
VEN;Venezuela;BRA;Brazil;392008992.0;;
YEM;Yemen;BRA;Brazil;27225948.0;;
AGO;Angola;CAN;Canada;22620608.0;;
ANT;Netherlands Antilles;CAN;Canada;4138141.0;;
AUS;Australia;CAN;Canada;58055420.0;;
CHE;Switzerland;CAN;Canada;12715326.0;;
CMR;Cameroon;CAN;Canada;29222850.0;;
COL;Colombia;CAN;Canada;7376928.0;;
DEU;Germany;CAN;Canada;1297.0;;
DZA;Algeria;CAN;Canada;664931392.0;;
ESP;Spain;CAN;Canada;7529340.0;;
GBR;United Kingdom;CAN;Canada;272860864.0;;
IRN;Iran, Islamic Republic of;CAN;Canada;31449472.0;;
IRQ;Iraq;CAN;Canada;368548960.0;;
MEX;Mexico;CAN;Canada;196084272.0;;
NGA;Nigeria;CAN;Canada;311295968.0;;
NLD;Netherlands;CAN;Canada;1572196.0;;
RUS;Russia Federation;CAN;Canada;78468208.0;;
SAU;Saudi Arabia;CAN;Canada;382393920.0;;
SYR;Syrian Arab Republic;CAN;Canada;15706392.0;;
USA;United States;CAN;Canada;191344768.0;;
VEN;Venezuela;CAN;Canada;615699840.0;;
AZE;Azerbaijan;CHE;Switzerland;5041033.0;;
BEL;Belgium;CHE;Switzerland;1214.0;;
COD;Congo, The Democratic Republic of ;CHE;Switzerland;2285434.0;;
DZA;Algeria;CHE;Switzerland;101201992.0;;
FRA;France;CHE;Switzerland;1810368.0;;
GAB;Gabon;CHE;Switzerland;25278450.0;;
GEO;Georgia;CHE;Switzerland;359066.0;;
IRN;Iran, Islamic Republic of;CHE;Switzerland;51889892.0;;
KAZ;Kazakstan;CHE;Switzerland;15452879.0;;
LBY;Libyan Arab Jamahiriya;CHE;Switzerland;364889792.0;;
NGA;Nigeria;CHE;Switzerland;307665760.0;;
RUS;Russia Federation;CHE;Switzerland;807883520.0;;
TKM;Turkmenistan;CHE;Switzerland;4289652.0;;
TUN;Tunisia;CHE;Switzerland;2395760.0;;
AGO;Angola;CHL;Chile;76089544.0;;
ARG;Argentina;CHL;Chile;1180854400.0;;
BRA;Brazil;CHL;Chile;9279804.0;;
ECU;Ecuador;CHL;Chile;134107808.0;;
NGA;Nigeria;CHL;Chile;251607456.0;;
PER;Peru;CHL;Chile;30342184.0;;
VEN;Venezuela;CHL;Chile;83157968.0;;
AGO;Angola;CHN;China;1473613824.0;;
ARE;United Arab Emirates;CHN;China;68801472.0;;
AUS;Australia;CHN;China;216514160.0;;
BRA;Brazil;CHN;China;34395172.0;;
BRN;Brunei Darussalam;CHN;China;54135132.0;;
CMR;Cameroon;CHN;China;67839000.0;;
COG;Congo;CHN;China;229606736.0;;
DEU;Germany;CHN;China;1894.0;;
EGY;Egypt;CHN;China;15642713.0;;
GAB;Gabon;CHN;China;65568080.0;;
GBR;United Kingdom;CHN;China;102562816.0;;
GNQ;Equatorial Guinea;CHN;China;154778048.0;;
IDN;Indonesia;CHN;China;830759936.0;;
IRN;Iran, Islamic Republic of;CHN;China;1032605632.0;;
IRQ;Iraq;CHN;China;536108576.0;;
JPN;Japan;CHN;China;7405.0;;
KAZ;Kazakstan;CHN;China;75144440.0;;
KWT;Kuwait;CHN;China;67515088.0;;
LBY;Libyan Arab Jamahiriya;CHN;China;19787802.0;;
MNG;Mongolia;CHN;China;1921754.0;;
MYS;Malaysia;CHN;China;160113440.0;;
NGA;Nigeria;CHN;China;206457936.0;;
NOR;Norway;CHN;China;82128112.0;;
PNG;Papua New Guinea;CHN;China;73445192.0;;
QAT;Qatar;CHN;China;271775200.0;;
RUS;Russia Federation;CHN;China;262294176.0;;
SAU;Saudi Arabia;CHN;China;891068352.0;;
SDN;Sudan;CHN;China;362680928.0;;
THA;Thailand;CHN;China;54440156.0;;
USA;United States;CHN;China;269388.0;;
VNM;Vietnam;CHN;China;690494016.0;;
YEM;Yemen;CHN;China;599237184.0;;
BRA;Brazil;COL;Colombia;1022.0;;
DZA;Algeria;COL;Colombia;1375407.0;;
ECU;Ecuador;COL;Colombia;7798920.0;;
FRA;France;COL;Colombia;1012.0;;
VEN;Venezuela;COL;Colombia;33424534.0;;
DEU;Germany;CRI;Costa Rica;1771.0;;
ECU;Ecuador;CRI;Costa Rica;6720000.0;;
USA;United States;CRI;Costa Rica;50971.0;;
VEN;Venezuela;CRI;Costa Rica;584507.0;;
BHS;Bahamas;CUB;Cuba;20732846.0;;
COL;Colombia;CUB;Cuba;26158394.0;;
ESP;Spain;CUB;Cuba;4076.0;;
RUS;Russia Federation;CUB;Cuba;12640270.0;;
VEN;Venezuela;CUB;Cuba;152493056.0;;
AZE;Azerbaijan;CZE;Czechia;2892028.0;;
DEU;Germany;CZE;Czechia;1983.0;;
DZA;Algeria;CZE;Czechia;74433512.0;;
GBR;United Kingdom;CZE;Czechia;2415.0;;
HUN;Hungary;CZE;Czechia;17109.0;;
IRQ;Iraq;CZE;Czechia;6191748.0;;
KAZ;Kazakstan;CZE;Czechia;69513336.0;;
LTU;Lithuania;CZE;Czechia;9964884.0;;
RUS;Russia Federation;CZE;Czechia;652542784.0;;
SVK;Slovakia;CZE;Czechia;559738.0;;
AGO;Angola;DEU;Germany;76576992.0;;
ARE;United Arab Emirates;DEU;Germany;341222.0;;
AUT;Austria;DEU;Germany;9806208.0;;
AZE;Azerbaijan;DEU;Germany;184577968.0;;
CMR;Cameroon;DEU;Germany;6098641.0;;
COG;Congo;DEU;Germany;45998540.0;;
CZE;Czechia;DEU;Germany;3804.0;;
DNK;Denmark;DEU;Germany;101585256.0;;
DZA;Algeria;DEU;Germany;1429253248.0;;
FRA;France;DEU;Germany;23361732.0;;
IRN;Iran, Islamic Republic of;DEU;Germany;157594256.0;;
IRQ;Iraq;DEU;Germany;37301880.0;;
ITA;Italy;DEU;Germany;11529297.0;;
KAZ;Kazakstan;DEU;Germany;455761728.0;;
KWT;Kuwait;DEU;Germany;105023256.0;;
LUX;Luxembourg;DEU;Germany;3508.0;;
NGA;Nigeria;DEU;Germany;402239360.0;;
POL;Poland;DEU;Germany;3121959.0;;
SAU;Saudi Arabia;DEU;Germany;762687488.0;;
SDN;Sudan;DEU;Germany;14718011.0;;
SYR;Syrian Arab Republic;DEU;Germany;819072448.0;;
TKM;Turkmenistan;DEU;Germany;4328301.0;;
TUN;Tunisia;DEU;Germany;27464700.0;;
VEN;Venezuela;DEU;Germany;237975024.0;;
YEM;Yemen;DEU;Germany;20536956.0;;
EST;Estonia;DNK;Denmark;22460354.0;;
FRA;France;DNK;Denmark;17859414.0;;
GBR;United Kingdom;DNK;Denmark;139177152.0;;
NLD;Netherlands;DNK;Denmark;20297518.0;;
NOR;Norway;DNK;Denmark;658076032.0;;
RUS;Russia Federation;DNK;Denmark;18018450.0;;
SWE;Sweden;DNK;Denmark;84818968.0;;
EST;Estonia;ECU;Ecuador;7707.0;;
VEN;Venezuela;ECU;Ecuador;4175.0;;
AGO;Angola;ESP;Spain;124000448.0;;
ARE;United Arab Emirates;ESP;Spain;793773.0;;
ARG;Argentina;ESP;Spain;1270.0;;
BRA;Brazil;ESP;Spain;4067094.0;;
CMR;Cameroon;ESP;Spain;42484636.0;;
COG;Congo;ESP;Spain;20153446.0;;
DZA;Algeria;ESP;Spain;592327488.0;;
ECU;Ecuador;ESP;Spain;5476680.0;;
EGY;Egypt;ESP;Spain;9236470.0;;
GAB;Gabon;ESP;Spain;42774244.0;;
GBR;United Kingdom;ESP;Spain;401180416.0;;
GNQ;Equatorial Guinea;ESP;Spain;318154368.0;;
IRN;Iran, Islamic Republic of;ESP;Spain;603029248.0;;
IRQ;Iraq;ESP;Spain;1020696128.0;;
ITA;Italy;ESP;Spain;8813514.0;;
KAZ;Kazakstan;ESP;Spain;14044360.0;;
LBY;Libyan Arab Jamahiriya;ESP;Spain;1403839360.0;;
MEX;Mexico;ESP;Spain;1134164224.0;;
NGA;Nigeria;ESP;Spain;2041561344.0;;
NLD;Netherlands;ESP;Spain;38284.0;;
PRT;Portugal;ESP;Spain;19582.0;;
RUS;Russia Federation;ESP;Spain;854210176.0;;
SAU;Saudi Arabia;ESP;Spain;1139525760.0;;
SYR;Syrian Arab Republic;ESP;Spain;122450760.0;;
TUN;Tunisia;ESP;Spain;148419504.0;;
TUR;Turkey;ESP;Spain;24374092.0;;
